,Industry,Functional Area,Total Positions,Job Shift,Job Type,Job Location,Gender,Minimum Education,Degree Title,Career Level,Minimum Experience,Apply Before,Posting Date,Age,Experience,Department,link_to_job
336,0,Sales & Business Development,3 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",No Preference,Bachelors,0,Entry Level,Less than 1 Year,"Dec 14, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/rttech-solutions-business-development-executive-lahore-jobs-1433383?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433383&utm_campaign=ROZEE.PK_job_search
337,Accounting / Taxation,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Gulberg 3, Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,1 Year,"Nov 19, 2023","Oct 18, 2023",0,,,https://www.rozee.pk/the-alifa-business-development-officer-karachi-jobs-1432641?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432641&utm_campaign=ROZEE.PK_job_search
338,0,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Johar Town, Lahore, Pakistan",Female,Masters,0,Experienced Professional,0,"Dec 12, 2023","Nov 11, 2023",0,,,https://www.rozee.pk/decardo-business-development-manager-lahore-jobs-1431279?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431279&utm_campaign=ROZEE.PK_job_search
339,Information Technology,Sales & Business Development,1 Post,Second Shift (Afternoon),Full Time/Permanent,"Allama Iqbal Town, Lahore, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,Less than 1 Year,"Dec 09, 2023","Nov 08, 2023",0,,,https://www.rozee.pk/cyber-system-pvt-ltd-business-development-executive-lahore-jobs-1433367?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433367&utm_campaign=ROZEE.PK_job_search
340,Information Technology,Project Management,3 Posts,First Shift (Day),Contract,"Karachi, Pakistan",No Preference,Bachelors,In computer science / Information Technology or any relevant discipline,Experienced Professional,0,"Nov 24, 2023","Nov 10, 2023",25 - 45 Years,,,https://www.rozee.pk/rep-tech-solutions-pvt-ltd-business-development-specialist-lahore-jobs-1432909?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432909&utm_campaign=ROZEE.PK_job_search
341,Information Technology,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",No Preference,Bachelors,0,Experienced Professional,6 Years,"Nov 24, 2023","Nov 09, 2023",0,,,https://www.rozee.pk/softnix-solutions-business-development-executive-lahore-jobs-1431115?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431115&utm_campaign=ROZEE.PK_job_search
342,Recruitment / Employment Firms,Sales & Business Development,5 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Faisalabad, Gujranwala, Karachi, Lahore, Multan, Pakistan",No Preference,Bachelors,"Business, Information technology, or a related field degree. Master's degree is a plus.",Experienced Professional,2 Years,"Dec 07, 2023","Nov 06, 2023",0,,,https://www.rozee.pk/affinityvibez-pvt-ltd-business-development-officer-lahore-jobs-1432537?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432537&utm_campaign=ROZEE.PK_job_search
343,Information Technology,Sales & Business Development,5 Posts,Second Shift (Afternoon),Full Time/Permanent,"Rawalpindi, Pakistan",No Preference,Bachelors,computer science related field,Experienced Professional,2 Years,"Nov 17, 2023","Oct 17, 2023",0,,,https://www.rozee.pk/soft-global-technologies-business-development-manager-lahore-jobs-1429415?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429415&utm_campaign=ROZEE.PK_job_search
344,Information Technology,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",No Preference,Bachelors,0,Entry Level,1 Year,"Nov 28, 2023","Oct 27, 2023",0,,,https://www.rozee.pk/al-arabia-developers-business-development-manager-faisalabad-jobs-1428157?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428157&utm_campaign=ROZEE.PK_job_search
345,Information Technology,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",No Preference,Bachelors,0,Experienced Professional,8 Years,"Nov 24, 2023","Nov 09, 2023",0,,,https://www.rozee.pk/wadic-business-development-representative-lahore-jobs-1427173?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427173&utm_campaign=ROZEE.PK_job_search
346,Recruitment / Employment Firms,Software & Web Development,5 Posts,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Nov 18, 2023","Oct 17, 2023",0,,,https://www.rozee.pk/tekboox-business-development-executive-lahore-jobs-1432377?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432377&utm_campaign=ROZEE.PK_job_search
347,E-Commerce / E- Business,Sales & Business Development,3 Posts,First Shift (Day),Full Time/Permanent,"Korangi Town, Karachi, Pakistan",No Preference,Bachelors,0,Entry Level,1 Year,"Dec 11, 2023","Nov 10, 2023",18 - 28 Years,,,https://www.rozee.pk/yottacom-technologies-business-development-intern-lahore-jobs-1428683?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428683&utm_campaign=ROZEE.PK_job_search
348,Information Technology,Sales & Business Development,5 Posts,Third Shift (Night),Full Time/Permanent,"Lahore, Pakistan",Male,Bachelors,"Bachelors in IT, Computer Science, and Software Engineering",Experienced Professional,2 Years,"Nov 21, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/softnix-solutions-business-development-executive-lahore-jobs-1428041?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428041&utm_campaign=ROZEE.PK_job_search
349,Consultants,Sales & Business Development,4 Posts,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,Fresh,"Nov 20, 2023","Oct 19, 2023",0,,,https://www.rozee.pk/billmymed-business-development-executive-lahore-jobs-1427145?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427145&utm_campaign=ROZEE.PK_job_search
350,Media/Communications,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Paragon City, Lahore, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,0,"Dec 08, 2023","Nov 07, 2023",0,,,https://www.rozee.pk/vasl-business-development-executive-lead-generation-specialist-islamabad-jobs-1426429?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1426429&utm_campaign=ROZEE.PK_job_search
351,BPO,Sales & Business Development,3 Posts,Third Shift (Night),Full Time/Permanent,"Mazang, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,2 Years,"Dec 14, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/blackurban-business-development-executive-lahore-jobs-1432015?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432015&utm_campaign=ROZEE.PK_job_search
352,0,Sales & Business Development,5 Posts,First Shift (Day),Full Time/Permanent,"Gulberg, Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,1 Year,"Dec 12, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/technoverts-business-development-executive-lahore-jobs-1429421?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429421&utm_campaign=ROZEE.PK_job_search
353,0,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",Female,MBBS,0,Experienced Professional,0,"Nov 19, 2023","Oct 18, 2023",0,,,https://www.rozee.pk/ai-professionals-pvt-limited-business-development-officer-islamabad-jobs-1433231?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433231&utm_campaign=ROZEE.PK_job_search
354,Call Center,Sales & Business Development,15 Posts,Third Shift (Night),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,Fresh,"Dec 08, 2023","Nov 07, 2023",0,,,https://www.rozee.pk/octa-accountant-business-development-associate-lahore-jobs-1424351?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1424351&utm_campaign=ROZEE.PK_job_search
355,Business Development,Sales & Business Development,10 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Dec 11, 2023","Nov 10, 2023",24 - 40 Years,,,https://www.rozee.pk/water-care-services-pakistan-business-development-manager-lahore-jobs-1432743?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432743&utm_campaign=ROZEE.PK_job_search
356,Information Technology,Sales & Business Development,1 Post,Second Shift (Afternoon),Full Time/Permanent,"Johar Town, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Dec 02, 2023","Nov 02, 2023",0,,,https://www.rozee.pk/cookiesbird-business-developer-lahore-jobs-1420199?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1420199&utm_campaign=ROZEE.PK_job_search
357,Real Estate/Property,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Faisalabad, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Nov 29, 2023","Oct 28, 2023",0,,,https://www.rozee.pk/pakistan-single-window-business-analyst-karachi-jobs-1431695?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431695&utm_campaign=ROZEE.PK_job_search
358,Information Technology,Sales & Business Development,3 Posts,Third Shift (Night),Full Time/Permanent,"Lahore, Pakistan",Female,Bachelors,0,Experienced Professional,0,"Nov 17, 2023","Nov 09, 2023",0,,,https://www.rozee.pk/pakistan-single-window-principal-business-analyst-weboc-karachi-jobs-1431835?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431835&utm_campaign=ROZEE.PK_job_search
359,0,Sales & Business Development,5 Posts,First Shift (Day),Full Time/Permanent,"Gulberg, Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,1 Year,"Dec 12, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/rozeepk-business-analyst-islamabad-faisalabad-gujranwala-karachi-lahore-multan-jobs-1430825?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430825&utm_campaign=ROZEE.PK_job_search
360,Business Development,Health & Medicine,1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",Male,Bachelors,0,Experienced Professional,2 Years,"Dec 14, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/virtelligence-information-services-business-analyst-rawalpindi-jobs-1423615?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1423615&utm_campaign=ROZEE.PK_job_search
361,Business Development,"Secretarial, Clerical & Front Office",1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",No Preference,0,0,Experienced Professional,2 Years,"Dec 12, 2023","Nov 12, 2023",0,,,https://www.rozee.pk/viral-webbs-business-developer-islamabad-jobs-1427873?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427873&utm_campaign=ROZEE.PK_job_search
362,Business Development,Human Resources,1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 12, 2023","Nov 12, 2023",23 - 25 Years,,,https://www.rozee.pk/pakistan-single-window-staff-business-analyst-weboc-karachi-jobs-1431793?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431793&utm_campaign=ROZEE.PK_job_search
363,Business Development,Writer,2 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Nov 18, 2023","Nov 12, 2023",23 - 30 Years,,,https://www.rozee.pk/finclude-business-analyst-karachi-jobs-1423767?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1423767&utm_campaign=ROZEE.PK_job_search
364,Business Development,Sales & Business Development,4 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",Male,Bachelors,0,Experienced Professional,0,"Nov 18, 2023","Nov 12, 2023",22 - 35 Years,,,https://www.rozee.pk/the-alifa-business-development-officer-karachi-jobs-1432641?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432641&utm_campaign=ROZEE.PK_job_search
365,Business Development,Telemarketing,1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,0,"Nov 18, 2023","Nov 12, 2023",0,,,https://www.rozee.pk/rttech-solutions-business-development-executive-lahore-jobs-1433383?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433383&utm_campaign=ROZEE.PK_job_search
366,Business Development,Sales & Business Development,2 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Nov 18, 2023","Nov 12, 2023",24 - 34 Years,,,https://www.rozee.pk/globex-group-pvt-ltd-business-consultant-karachi-jobs-1424919?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1424919&utm_campaign=ROZEE.PK_job_search
367,Business Development,Marketing,3 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,"BSc /BA/B.Com/BBA in marketing, business administration or relevant discipline.",Entry Level,0,"Nov 18, 2023","Nov 12, 2023",22 - 32 Years,,,https://www.rozee.pk/decardo-business-development-manager-lahore-jobs-1431279?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431279&utm_campaign=ROZEE.PK_job_search
368,Business Development,Sales & Business Development,10 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Dec 11, 2023","Nov 10, 2023",24 - 40 Years,,,https://www.rozee.pk/cyber-system-pvt-ltd-business-development-executive-lahore-jobs-1433367?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433367&utm_campaign=ROZEE.PK_job_search
369,Business Development,Human Resources,10 Posts,First Shift (Day),Full Time/Permanent,"Johar Town, Lahore, Pakistan",Female,Bachelors,0,Experienced Professional,3 Years,"Dec 11, 2023","Nov 10, 2023",24 - 40 Years,,,https://www.rozee.pk/rep-tech-solutions-pvt-ltd-business-development-specialist-lahore-jobs-1432909?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432909&utm_campaign=ROZEE.PK_job_search
370,Business Development,Quality Assurance (QA),10 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",Female,Bachelors,0,Experienced Professional,3 Years,"Dec 11, 2023","Nov 10, 2023",24 - 40 Years,,,https://www.rozee.pk/purelybest-pvt-ltd-business-developer-islamabad-jobs-1424491?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1424491&utm_campaign=ROZEE.PK_job_search
371,Business Development,Marketing,1 Post,First Shift (Day),Full Time/Permanent,"Johar Town, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Dec 11, 2023","Nov 10, 2023",20 - 40 Years,,,https://www.rozee.pk/softnix-solutions-business-development-executive-lahore-jobs-1431115?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431115&utm_campaign=ROZEE.PK_job_search
372,Business Development,Advertising,1 Post,First Shift (Day),Full Time/Permanent,"Johar Town, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Dec 11, 2023","Nov 10, 2023",20 - 40 Years,,,https://www.rozee.pk/affinityvibez-pvt-ltd-business-development-officer-lahore-jobs-1432537?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432537&utm_campaign=ROZEE.PK_job_search
373,Business Development,Software & Web Development,10 Posts,First Shift (Day),Full Time/Permanent,"Johar Town, Lahore, Pakistan",No Preference,Bachelors,"Computer Science or a related field preferred, but not required",Experienced Professional,3 Years,"Dec 11, 2023","Nov 10, 2023",20 - 40 Years,,,https://www.rozee.pk/soft-global-technologies-business-development-manager-lahore-jobs-1429415?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429415&utm_campaign=ROZEE.PK_job_search
374,Business Development,Sales & Business Development,10 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Dec 11, 2023","Nov 10, 2023",24 - 40 Years,,,https://www.rozee.pk/al-arabia-developers-business-development-manager-faisalabad-jobs-1428157?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428157&utm_campaign=ROZEE.PK_job_search
375,Business Development,Sales & Business Development,10 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Dec 11, 2023","Nov 10, 2023",24 - 40 Years,,,https://www.rozee.pk/tekboox-business-development-executive-lahore-jobs-1432377?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432377&utm_campaign=ROZEE.PK_job_search
376,Business Development,Sales & Business Development,10 Posts,First Shift (Day),Full Time/Permanent,"Johar Town, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Dec 11, 2023","Nov 10, 2023",24 - 40 Years,,,https://www.rozee.pk/rep-tech-solutions-pvt-ltd-business-development-specialist-lahore-jobs-1432909?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432909&utm_campaign=ROZEE.PK_job_search
377,Business Development,Public Relations,10 Posts,First Shift (Day),Full Time/Permanent,"Johar Town, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Dec 11, 2023","Nov 10, 2023",24 - 40 Years,,,https://www.rozee.pk/ammag-it-solutions-therapist-lahore-jobs-1433191?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433191&utm_campaign=ROZEE.PK_job_search
378,Business Development,Client Services & Customer Support,10 Posts,First Shift (Day),Full Time/Permanent,"Johar Town, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Dec 11, 2023","Nov 10, 2023",24 - 40 Years,,,https://www.rozee.pk/u-fitness-club-receptionist-islamabad-jobs-1432891?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432891&utm_campaign=ROZEE.PK_job_search
379,Information Technology,"Accounts, Finance & Financial Services",1 Post,Second Shift (Afternoon),Full Time/Permanent,"Gulberg 2, Lahore, Pakistan",Male,Bachelors,"Finance, Accounting, or a related field (Master’s degree or professional certifications like ACCA, CMA, or CA is a plus).",Experienced Professional,3 Years,"Dec 07, 2023","Nov 06, 2023",0,,,https://www.rozee.pk/together-hr-executive-karachi-jobs-1432875?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432875&utm_campaign=ROZEE.PK_job_search
380,E-Commerce / E- Business,"Secretarial, Clerical & Front Office",1 Post,First Shift (Day),Full Time/Permanent,"Airlines, Lahore, Pakistan",No Preference,Non-Matriculation,0,Entry Level,Less than 1 Year,"Dec 09, 2023","Nov 08, 2023",0,,,https://www.rozee.pk/together-creative-content-writer-lahore-jobs-1432859?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432859&utm_campaign=ROZEE.PK_job_search
